,Area_Name,Year,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
1527,Meghalaya,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,13,13,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1
1528,Mizoram,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,Nagaland,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,Odisha,2004,05. Sexual Harassment,114,1,161,0,24,4,162,0,19,15,672,649,170,161,138,0,0,810,134,0,255,248,31,2,9,860,0,165,777,1025
1531,Puducherry,2004,05. Sexual Harassment,4,0,30,4,8,1,30,0,1,2,49,35,30,30,12,0,0,65,7,11,41,42,10,1,0,55,0,17,41,83
1532,Punjab,2004,05. Sexual Harassment,25,8,32,1,61,1,40,1,9,13,83,138,38,32,86,0,0,170,28,5,43,64,66,43,8,127,14,94,162,226
1533,Rajasthan,2004,05. Sexual Harassment,17,0,35,6,28,6,35,0,0,0,124,140,41,35,45,0,0,175,24,7,51,51,31,0,0,126,0,55,137,188
1534,Sikkim,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1535,Tamil Nadu,2004,05. Sexual Harassment,255,10,943,3,704,50,953,2,113,37,775,794,1081,943,959,0,0,1737,284,4,1037,1071,696,82,45,907,3,980,820,1891
1536,Tripura,2004,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537,Uttar Pradesh,2004,05. Sexual Harassment,666,21,2644,52,1849,19,2665,0,9,11,5658,5581,2682,2644,2515,0,0,8225,875,70,4176,4159,2351,19,15,8689,21,3226,7826,11985
1538,Uttarakhand,2004,05. Sexual Harassment,3,0,109,0,48,1,109,0,1,1,224,166,110,109,51,0,0,275,5,0,267,258,60,1,7,443,3,65,250,508
1539,West Bengal,2004,05. Sexual Harassment,21,8,42,0,3,0,50,0,50,36,59,41,64,42,24,0,0,83,36,0,90,64,3,30,55,104,1,39,79,143
1540,Andaman & Nicobar Islands,2005,05. Sexual Harassment,1,0,1,0,0,0,1,0,1,1,11,11,1,1,1,0,0,12,3,0,3,2,0,1,2,11,0,3,12,14
1541,Andhra Pradesh,2005,05. Sexual Harassment,994,46,2410,369,1030,97,2456,0,358,403,1902,1885,2508,2410,2024,0,0,4295,1234,347,2963,2856,1214,850,894,2592,63,2448,2531,5387
1542,Arunachal Pradesh,2005,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,9,9
1543,Assam,2005,05. Sexual Harassment,18,8,14,0,1,0,22,0,4,7,14,19,19,14,19,0,0,33,17,0,9,6,1,6,4,14,5,18,26,32
1544,Bihar,2005,05. Sexual Harassment,14,1,12,0,1,0,13,0,10,10,34,37,13,12,15,0,0,49,20,0,27,18,1,1,7,53,3,21,56,74
1545,Chandigarh,2005,05. Sexual Harassment,1,2,10,0,1,0,12,0,2,5,40,32,9,10,2,0,0,42,1,0,13,21,2,10,2,53,0,3,35,56
1546,Chhattisgarh,2005,05. Sexual Harassment,75,5,128,10,40,0,133,0,1,2,331,328,132,128,115,0,0,456,95,18,173,175,50,2,0,495,0,145,483,658
1547,Dadra & Nagar Haveli,2005,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1548,Daman & Diu,2005,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1549,Delhi,2005,05. Sexual Harassment,98,5,219,0,18,0,224,0,47,46,486,383,225,219,116,0,0,602,124,0,255,221,35,72,90,664,16,159,602,823
1550,Goa,2005,05. Sexual Harassment,2,5,9,4,0,0,14,0,4,10,24,21,8,9,2,0,0,30,3,8,9,10,0,10,3,25,6,3,26,36
1551,Gujarat,2005,05. Sexual Harassment,46,7,89,5,12,7,96,0,8,7,749,723,104,89,58,0,0,812,58,7,125,125,13,3,1,1138,2,71,1091,1216
1552,Haryana,2005,05. Sexual Harassment,80,2,587,0,343,8,589,0,17,17,633,469,597,587,423,0,0,1056,107,0,755,768,392,21,8,1108,0,499,839,1607
1553,Himachal Pradesh,2005,05. Sexual Harassment,13,1,27,2,3,1,28,0,2,2,81,72,29,27,16,0,0,99,15,2,34,35,4,2,1,149,0,19,135,170
1554,Jammu & Kashmir,2005,05. Sexual Harassment,175,3,343,0,74,5,346,0,68,48,834,740,371,343,249,0,0,1083,216,2,442,400,92,5,2,1240,45,308,1150,1550
1555,Jharkhand,2005,05. Sexual Harassment,11,7,24,13,7,1,31,0,11,7,4,11,36,24,18,0,0,35,34,0,88,21,11,7,46,154,28,45,178,199
1556,Karnataka,2005,05. Sexual Harassment,56,1,39,5,3,2,40,0,40,11,94,119,71,39,59,0,0,158,35,5,53,51,2,1,2,100,1,37,91,142
1557,Kerala,2005,05. Sexual Harassment,58,1,165,7,21,4,166,0,26,21,321,242,175,165,79,0,0,407,160,15,198,282,45,107,23,398,0,205,336,618
1558,Lakshadweep,2005,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1559,Madhya Pradesh,2005,05. Sexual Harassment,314,3,680,175,189,2,683,0,128,21,1662,1663,792,680,503,3,0,2340,387,207,878,876,254,1,3,3039,0,641,3011,3887
1560,Maharashtra,2005,05. Sexual Harassment,381,15,901,89,35,6,916,0,221,224,6554,6158,919,901,416,0,0,7059,502,129,1256,1229,39,121,145,8342,3,541,7783,9012
1561,Manipur,2005,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1562,Meghalaya,2005,05. Sexual Harassment,0,0,0,0,0,0,0,0,13,13,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1
1563,Mizoram,2005,05. Sexual Harassment,0,0,1,0,0,0,1,0,3,0,1,0,4,1,0,0,0,1,0,0,6,3,2,0,3,1,0,2,0,3
1564,Nagaland,2005,05. Sexual Harassment,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,Odisha,2005,05. Sexual Harassment,116,1,166,0,11,6,167,0,30,19,711,672,184,166,127,0,0,838,85,0,293,293,12,9,9,1056,0,97,860,1153
1566,Puducherry,2005,05. Sexual Harassment,10,0,27,5,14,0,27,0,0,1,47,49,26,27,24,0,0,76,12,6,30,30,14,0,0,53,0,26,55,85
1567,Punjab,2005,05. Sexual Harassment,16,9,18,0,6,7,27,0,18,9,79,83,43,18,22,0,0,101,22,0,42,27,7,8,12,125,11,29,127,154
1568,Rajasthan,2005,05. Sexual Harassment,11,0,22,2,17,6,22,0,0,0,116,124,28,22,28,0,0,146,17,3,38,38,19,0,0,125,0,36,126,164
1569,Sikkim,2005,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,Tamil Nadu,2005,05. Sexual Harassment,396,2,749,4,419,10,751,1,16,113,705,775,665,749,815,0,0,1524,341,0,787,809,446,45,20,929,3,787,907,1716
1571,Tripura,2005,05. Sexual Harassment,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
1572,Uttar Pradesh,2005,05. Sexual Harassment,630,3,2841,59,1834,6,2844,0,40,9,5976,5658,2881,2841,2464,0,0,8499,983,86,4469,4373,2908,15,65,9085,46,3891,8689,13062
1573,Uttarakhand,2005,05. Sexual Harassment,21,0,88,0,30,1,88,0,1,1,261,224,89,88,51,0,0,312,22,0,179,184,41,7,2,564,0,63,443,627
1574,West Bengal,2005,05. Sexual Harassment,29,11,52,0,3,0,63,0,41,50,79,59,54,52,32,0,0,111,42,0,66,65,3,55,40,124,16,45,104,169
1575,Andaman & Nicobar Islands,2006,05. Sexual Harassment,1,1,4,0,0,0,5,0,0,1,14,11,4,4,1,0,0,15,1,0,6,8,0,2,0,18,0,1,11,19
1576,Andhra Pradesh,2006,05. Sexual Harassment,737,40,2090,435,655,129,2130,0,510,358,2165,1902,2411,2090,1392,0,0,3992,1148,614,2816,2790,759,894,868,2861,52,1907,2592,5382
1577,Arunachal Pradesh,2006,05. Sexual Harassment,2,0,1,0,0,0,1,0,1,0,6,7,2,1,2,0,0,8,3,0,2,1,0,0,1,7,0,3,9,10
1578,Assam,2006,05. Sexual Harassment,8,2,8,0,1,0,10,0,4,4,13,14,10,8,9,0,0,22,6,0,10,8,0,4,4,16,2,6,14,22
1579,Bihar,2006,05. Sexual Harassment,23,7,43,1,5,7,50,0,6,10,48,34,53,43,28,0,0,77,27,0,55,47,10,7,15,63,0,37,53,100
1580,Chandigarh,2006,05. Sexual Harassment,1,0,12,0,3,1,12,0,2,2,48,40,13,12,4,0,0,52,1,0,20,20,3,2,2,69,0,4,53,73
1581,Chhattisgarh,2006,05. Sexual Harassment,51,3,135,19,27,0,138,0,6,1,369,331,143,135,78,0,0,466,62,19,179,178,41,0,1,551,0,103,495,673
1582,Dadra & Nagar Haveli,2006,05. Sexual Harassment,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,2,0,0,1,1,0,0,0,2,0,0,1,2
1583,Daman & Diu,2006,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1584,Delhi,2006,05. Sexual Harassment,113,8,114,0,19,0,122,0,69,47,468,486,144,114,132,0,0,600,144,0,163,41,33,90,185,528,27,177,664,705
1585,Goa,2006,05. Sexual Harassment,5,2,4,2,0,0,6,0,5,4,21,24,7,4,5,0,0,28,3,2,6,6,0,3,3,26,0,3,25,31
1586,Gujarat,2006,05. Sexual Harassment,47,9,118,3,15,2,127,0,17,8,802,749,138,118,62,0,0,867,55,3,143,139,19,1,5,1200,0,74,1138,1277
1587,Haryana,2006,05. Sexual Harassment,73,2,475,0,342,12,477,0,19,17,693,633,491,475,415,0,0,1108,97,0,584,581,384,8,11,1208,0,481,1108,1689
1588,Himachal Pradesh,2006,05. Sexual Harassment,18,4,26,1,5,2,30,0,1,2,83,81,31,26,23,0,0,107,19,3,34,35,5,1,0,157,0,24,149,184
1589,Jammu & Kashmir,2006,05. Sexual Harassment,175,2,350,4,82,6,352,0,57,68,923,834,347,350,257,0,0,1184,229,3,469,469,119,2,2,1358,0,348,1240,1709
1590,Jharkhand,2006,05. Sexual Harassment,21,3,28,3,5,2,31,0,22,11,0,4,44,28,26,3,0,29,11,6,33,66,5,46,13,198,0,16,154,220
1591,Karnataka,2006,05. Sexual Harassment,24,2,33,5,9,4,35,0,39,40,89,94,38,33,33,0,0,127,32,5,42,40,7,2,1,96,3,39,100,140
1592,Kerala,2006,05. Sexual Harassment,79,6,178,8,16,14,184,0,50,26,396,321,222,178,95,0,0,499,110,8,230,220,19,23,33,481,0,129,398,618
1593,Lakshadweep,2006,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,Madhya Pradesh,2006,05. Sexual Harassment,288,7,759,208,259,0,766,0,124,128,1666,1662,762,759,547,0,0,2421,372,226,970,973,467,3,0,2947,0,839,3039,4012
1595,Maharashtra,2006,05. Sexual Harassment,365,22,914,95,41,11,936,0,258,221,6967,6554,984,914,406,0,0,7468,473,125,1195,1188,43,145,149,8889,3,516,8342,9530
1596,Manipur,2006,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,Meghalaya,2006,05. Sexual Harassment,0,0,0,0,0,0,0,0,13,13,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1
1598,Mizoram,2006,05. Sexual Harassment,0,1,2,0,3,0,3,0,0,3,0,1,0,2,3,0,0,3,0,0,0,3,3,3,0,1,0,3,1,4
1599,Nagaland,2006,05. Sexual Harassment,0,0,1,0,1,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,2,2,2,0,0,0,0,2,0,2
1600,Odisha,2006,05. Sexual Harassment,158,0,214,0,20,2,214,0,61,30,747,711,247,214,178,0,0,925,190,0,311,306,20,9,14,1152,0,210,1056,1362
1601,Puducherry,2006,05. Sexual Harassment,4,0,38,4,9,1,38,0,0,0,68,47,39,38,13,0,0,85,6,7,70,70,9,0,0,101,0,15,53,123
1602,Punjab,2006,05. Sexual Harassment,61,5,43,0,19,5,48,0,25,18,42,79,60,43,80,0,0,122,73,0,75,63,29,12,21,86,3,102,125,188
1603,Rajasthan,2006,05. Sexual Harassment,11,0,26,7,16,5,26,0,0,0,108,116,31,26,27,0,0,142,13,5,33,33,16,0,0,124,0,29,125,158
1604,Sikkim,2006,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Tamil Nadu,2006,05. Sexual Harassment,280,20,745,0,203,28,765,2,73,16,967,705,852,745,483,0,0,1450,378,0,857,838,348,20,39,1041,0,726,929,1767
1606,Tripura,2006,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Uttar Pradesh,2006,05. Sexual Harassment,662,12,2715,90,1716,6,2727,0,21,40,6223,5976,2714,2715,2378,0,0,8691,915,111,3852,3825,2312,65,37,9572,55,3227,9085,12910
1608,Uttarakhand,2006,05. Sexual Harassment,9,0,113,62,35,0,113,0,1,1,268,261,113,113,44,0,0,374,33,103,186,185,94,2,3,519,0,127,564,749
1609,West Bengal,2006,05. Sexual Harassment,61,7,51,3,16,0,58,0,46,41,50,79,63,51,77,0,0,130,80,3,76,55,20,40,52,76,9,100,124,179
1610,Andaman & Nicobar Islands,2007,05. Sexual Harassment,0,2,0,0,0,0,2,0,0,0,14,14,2,0,0,0,0,14,0,0,0,0,0,0,0,18,0,0,18,18
1611,Andhra Pradesh,2007,05. Sexual Harassment,1141,108,2785,545,917,332,2893,0,601,510,2347,2165,3316,2785,2058,0,0,4950,1455,697,3614,3654,964,868,738,3399,90,2419,2861,6515
1612,Arunachal Pradesh,2007,05. Sexual Harassment,0,0,2,0,0,0,2,0,0,1,8,6,1,2,0,0,0,8,0,0,5,6,0,1,0,13,0,0,7,13
1613,Assam,2007,05. Sexual Harassment,8,5,7,0,2,0,12,0,2,4,10,13,10,7,10,0,0,20,14,0,16,7,2,4,7,7,6,16,16,23
1614,Bihar,2007,05. Sexual Harassment,10,0,11,0,2,0,11,0,7,6,47,48,12,11,12,0,0,59,16,0,19,18,2,15,11,63,5,18,63,81
1615,Chandigarh,2007,05. Sexual Harassment,7,1,6,0,0,3,7,0,3,2,47,48,11,6,7,0,0,54,13,0,15,10,0,2,4,66,3,13,69,79
1616,Chhattisgarh,2007,05. Sexual Harassment,40,5,106,23,26,2,111,0,4,6,386,369,111,106,66,0,0,475,57,36,129,130,30,1,0,558,0,87,551,681
1617,Dadra & Nagar Haveli,2007,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2
1618,Daman & Diu,2007,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1619,Delhi,2007,05. Sexual Harassment,127,6,123,0,44,1,129,0,106,69,420,468,167,123,171,0,0,591,151,0,181,179,48,185,169,508,18,199,528,707
1620,Goa,2007,05. Sexual Harassment,5,2,6,0,1,0,8,0,4,5,21,21,7,6,6,0,0,27,7,0,6,8,1,3,1,26,0,8,26,34
1621,Gujarat,2007,05. Sexual Harassment,45,15,96,5,11,5,111,1,20,17,837,802,120,96,56,0,0,898,73,5,179,157,9,5,27,1270,0,82,1200,1357
1622,Haryana,2007,05. Sexual Harassment,95,7,394,0,229,8,401,0,19,19,763,693,409,394,324,0,0,1087,164,0,576,575,269,11,12,1350,0,433,1208,1783
1623,Himachal Pradesh,2007,05. Sexual Harassment,5,1,9,2,1,7,10,0,17,1,84,83,33,9,6,0,0,92,22,2,12,8,1,0,4,140,0,23,157,165
1624,Jammu & Kashmir,2007,05. Sexual Harassment,123,0,352,5,83,7,352,0,51,57,1064,923,353,352,206,0,0,1275,176,6,465,466,117,2,1,1525,0,293,1358,1824
1625,Jharkhand,2007,05. Sexual Harassment,8,2,14,0,0,3,16,0,18,22,6,0,15,14,8,0,0,14,142,0,23,24,0,13,12,80,0,142,198,222
1626,Karnataka,2007,05. Sexual Harassment,48,0,32,3,10,1,32,0,34,39,60,89,28,32,58,0,0,121,25,6,44,40,9,1,5,96,0,34,96,136
1627,Kerala,2007,05. Sexual Harassment,51,11,232,10,13,10,243,0,59,50,554,396,262,232,64,0,0,628,117,15,281,284,16,33,30,617,0,133,481,765
1628,Lakshadweep,2007,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1629,Madhya Pradesh,2007,05. Sexual Harassment,242,7,772,224,263,0,779,0,125,124,1709,1666,780,772,505,0,0,2438,392,356,1104,1104,455,0,0,2848,0,847,2947,4051
1630,Maharashtra,2007,05. Sexual Harassment,387,19,964,76,31,10,983,0,304,258,7437,6967,1039,964,418,0,0,7931,584,101,1291,1242,33,149,196,9413,2,617,8889,10131
1631,Manipur,2007,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,Meghalaya,2007,05. Sexual Harassment,0,0,0,0,0,0,0,0,14,13,3,3,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1
1633,Mizoram,2007,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1634,Nagaland,2007,05. Sexual Harassment,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1635,Odisha,2007,05. Sexual Harassment,65,4,218,0,14,4,222,0,76,61,886,747,241,218,79,0,0,965,141,0,317,315,24,14,16,1302,0,165,1152,1467
1636,Puducherry,2007,05. Sexual Harassment,4,0,31,8,13,1,31,0,0,0,74,68,32,31,17,0,0,99,9,13,52,52,23,0,0,108,0,32,101,153
1637,Punjab,2007,05. Sexual Harassment,13,12,48,0,16,3,60,0,10,25,61,42,48,48,29,0,0,90,18,0,59,62,21,21,12,109,6,39,86,148
1638,Rajasthan,2007,05. Sexual Harassment,7,0,19,2,14,7,19,0,2,0,101,108,28,19,21,3,0,124,15,6,34,34,15,0,0,122,0,30,124,158
1639,Sikkim,2007,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1640,Tamil Nadu,2007,05. Sexual Harassment,504,37,790,1,302,24,827,1,96,73,950,967,875,790,806,0,0,1757,420,0,931,921,333,39,48,1209,1,753,1041,1962
1641,Tripura,2007,05. Sexual Harassment,1,0,4,0,0,0,4,0,0,0,3,0,4,4,1,0,0,4,1,0,4,4,0,0,0,3,0,1,0,4
1642,Uttar Pradesh,2007,05. Sexual Harassment,741,21,2864,184,1649,5,2885,0,13,21,6513,6223,2882,2864,2390,0,0,9087,1202,259,4149,4124,2301,37,26,9934,36,3503,9572,13696
1643,Uttarakhand,2007,05. Sexual Harassment,7,0,58,15,50,1,58,0,5,1,254,268,63,58,57,0,0,326,6,79,128,123,62,3,6,495,2,68,519,642
1644,West Bengal,2007,05. Sexual Harassment,44,10,64,4,17,0,74,0,71,46,49,50,99,64,61,0,0,114,61,6,118,98,26,52,56,81,16,87,76,174
1645,Andaman & Nicobar Islands,2008,05. Sexual Harassment,0,0,2,0,0,0,2,0,1,0,16,14,3,2,0,0,0,16,0,0,4,2,0,0,2,20,0,0,18,20
1646,Andhra Pradesh,2008,05. Sexual Harassment,1165,212,2945,518,569,252,3157,0,743,601,3040,2347,3551,2945,1734,0,0,5292,1659,614,3240,3260,636,738,685,3750,33,2295,3399,6659
1647,Arunachal Pradesh,2008,05. Sexual Harassment,0,0,1,0,0,0,1,0,0,0,9,8,1,1,0,0,0,9,0,0,1,1,0,0,0,14,0,0,13,14
1648,Assam,2008,05. Sexual Harassment,2,0,2,0,0,0,2,0,2,2,10,10,2,2,2,0,0,12,1,0,2,2,0,7,7,8,0,1,7,9
1649,Bihar,2008,05. Sexual Harassment,4,2,12,0,3,0,14,0,14,7,52,47,21,12,7,0,0,59,4,0,30,28,3,11,13,84,0,7,63,91
1650,Chandigarh,2008,05. Sexual Harassment,1,0,5,0,6,0,5,0,0,3,45,47,2,5,7,0,0,52,1,0,3,7,6,4,0,66,0,7,66,73
1651,Chhattisgarh,2008,05. Sexual Harassment,37,3,123,22,27,0,126,0,3,4,423,386,125,123,64,0,0,509,48,26,165,162,40,0,3,606,0,88,558,720
1652,Dadra & Nagar Haveli,2008,05. Sexual Harassment,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,2,2
1653,Daman & Diu,2008,05. Sexual Harassment,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1654,Delhi,2008,05. Sexual Harassment,29,11,131,0,57,0,142,0,94,106,465,420,130,131,86,0,0,551,99,0,141,163,68,169,143,504,4,167,508,671
1655,Goa,2008,05. Sexual Harassment,3,2,8,1,0,0,10,0,6,4,25,21,12,8,3,0,0,29,4,1,12,8,0,1,4,29,1,4,26,34
1656,Gujarat,2008,05. Sexual Harassment,63,8,120,4,5,3,128,0,11,20,885,837,122,120,68,0,0,957,129,4,161,181,12,27,7,1306,0,141,1270,1451
1657,Haryana,2008,05. Sexual Harassment,110,15,567,1,381,15,582,0,27,19,838,763,605,567,491,0,0,1330,145,1,731,716,451,12,27,1469,0,596,1350,2066
1658,Himachal Pradesh,2008,05. Sexual Harassment,11,8,36,2,5,1,44,0,13,17,102,84,41,36,16,0,0,120,14,3,55,45,8,4,14,160,0,22,140,185
1659,Jammu & Kashmir,2008,05. Sexual Harassment,109,1,284,5,69,4,285,0,58,51,1165,1064,296,284,178,0,0,1348,140,7,401,400,96,1,2,1682,0,236,1525,1925
1660,Jharkhand,2008,05. Sexual Harassment,6,5,16,0,1,1,21,0,19,18,15,6,23,16,7,0,0,22,82,0,63,55,1,12,20,52,0,83,80,135
1661,Karnataka,2008,05. Sexual Harassment,28,0,41,8,10,3,41,0,34,34,55,60,44,41,38,0,0,101,33,8,38,41,10,5,2,87,0,43,97,138
1662,Kerala,2008,05. Sexual Harassment,100,11,244,18,35,9,255,0,53,59,645,554,258,244,135,0,0,798,104,20,302,293,46,30,39,740,0,150,617,910
1663,Lakshadweep,2008,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1664,Madhya Pradesh,2008,05. Sexual Harassment,357,7,739,188,290,2,746,0,135,125,1613,1709,758,739,647,0,0,2448,539,238,958,956,452,0,2,2575,0,991,2848,3804
1665,Maharashtra,2008,05. Sexual Harassment,552,21,998,115,70,8,1019,0,368,304,7698,7437,1091,998,622,0,0,8435,673,131,1352,1351,76,196,197,9884,0,749,9413,10764
1666,Manipur,2008,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,Meghalaya,2008,05. Sexual Harassment,0,0,0,0,0,0,0,0,18,14,3,3,4,0,0,0,0,3,0,0,2,1,0,0,0,2,1,0,1,2
1668,Mizoram,2008,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1669,Nagaland,2008,05. Sexual Harassment,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,2,2
1670,Odisha,2008,05. Sexual Harassment,117,4,258,0,17,2,262,0,94,76,1010,886,282,258,134,0,0,1144,160,0,352,356,28,16,12,1470,0,188,1302,1658
1671,Puducherry,2008,05. Sexual Harassment,2,0,20,2,9,1,20,0,0,0,81,74,21,20,11,0,0,94,2,2,28,28,11,0,0,121,0,13,108,136
1672,Punjab,2008,05. Sexual Harassment,17,4,29,0,18,0,33,0,26,10,55,61,49,29,35,0,0,90,26,0,61,37,22,12,35,98,1,48,109,146
1673,Rajasthan,2008,05. Sexual Harassment,11,1,12,2,14,7,13,0,1,2,86,101,19,12,25,0,0,113,17,4,15,15,24,0,0,92,0,41,122,137
1674,Sikkim,2008,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,Tamil Nadu,2008,05. Sexual Harassment,465,27,856,0,317,37,883,0,150,96,1024,950,974,856,782,0,0,1806,560,0,1245,1101,379,48,191,1371,1,939,1209,2310
1676,Tripura,2008,05. Sexual Harassment,2,0,4,0,2,0,4,0,0,0,3,3,4,4,4,0,0,7,1,0,8,6,0,0,0,8,2,1,3,9
1677,Uttar Pradesh,2008,05. Sexual Harassment,807,22,3318,162,2130,25,3340,0,22,13,6732,6513,3374,3318,2937,0,0,9831,1255,256,4958,4876,3179,26,37,10120,71,4434,9934,14810
1678,Uttarakhand,2008,05. Sexual Harassment,1,1,289,1,72,3,290,0,18,5,469,254,306,289,73,0,0,543,2,6,459,443,250,6,22,680,0,252,495,938
1679,West Bengal,2008,05. Sexual Harassment,41,5,70,5,20,0,75,0,90,71,53,49,94,70,61,0,0,119,62,6,156,125,23,56,84,115,3,85,81,206
1680,Andaman & Nicobar Islands,2009,05. Sexual Harassment,0,0,4,0,0,0,4,0,4,1,20,16,7,4,0,0,0,20,0,0,8,4,0,2,6,24,0,0,20,24
1681,Andhra Pradesh,2009,05. Sexual Harassment,1577,193,3103,764,613,303,3296,0,664,743,3189,3040,3520,3103,2190,0,0,6143,1911,978,4178,3848,681,685,938,4028,77,2592,3750,7598
